Generation,MaxFit
0,0.15821
1,0.15821
2,0.16029
3,0.16029
4,0.16029
5,0.16029
6,0.16029
7,0.16029
8,0.16029
9,0.16029
10,0.16825
11,0.17108
12,0.17108
13,0.17108
14,0.17707
15,0.17707
16,0.17707
17,0.17716
18,0.18241
19,0.19083
20,0.19083
21,0.19083
22,0.19083
23,0.19083
24,0.19083
25,0.19149
26,0.19149
27,0.19149
28,0.19149
29,0.19149
30,0.19149
31,0.19149
32,0.19149
33,0.19149
34,0.19149
35,0.19149
36,0.19149
37,0.19149
38,0.19149
39,0.19149
40,0.19149
41,0.19149
42,0.19149
43,0.19149
44,0.19149
45,0.19149
46,0.19149
47,0.19149
48,0.19149
49,0.19149
50,0.19149
51,0.19149
52,0.19149
53,0.19149
54,0.19202
55,0.19252
56,0.19252
57,0.19252
58,0.19252
59,0.19252
60,0.19252
61,0.19252
62,0.19252
63,0.19252
64,0.19252
65,0.19252
66,0.19252
67,0.19252
68,0.19548
69,0.19548
70,0.19548
71,0.19548
72,0.19548
73,0.19548
74,0.19548
75,0.19548
76,0.19548
77,0.19763
78,0.19763
79,0.19763
80,0.19763
81,0.19763
82,0.19763
83,0.19763
84,0.20008
85,0.20008
86,0.20008
87,0.20008
88,0.20008
89,0.20008
90,0.20008
91,0.20008
92,0.20008
93,0.20008
94,0.20008
95,0.20008
96,0.20008
97,0.20008
98,0.20008
99,0.20008
100,0.20008
101,0.20008
102,0.20008
103,0.20008
104,0.20008
105,0.20018
106,0.20018
107,0.20018
108,0.20018
109,0.20018
110,0.20018
111,0.20018
112,0.20355
113,0.20355
114,0.20355
115,0.20355
116,0.20355
117,0.20355
118,0.20371
119,0.20371
120,0.20371
121,0.20371
122,0.20371
123,0.20371
124,0.20371
125,0.20371
126,0.20371
127,0.20371
128,0.20371
129,0.20371
130,0.20371
131,0.20371
132,0.20371
133,0.20371
134,0.20371
135,0.20371
136,0.20371
137,0.20371
138,0.20371
139,0.20371
140,0.20371
141,0.20371
142,0.20371
143,0.20371
144,0.20371
145,0.20371
146,0.20371
147,0.20371
148,0.20371
149,0.20371
150,0.20371
151,0.20371
152,0.20371
153,0.20371
154,0.20371
155,0.20371
156,0.20371
157,0.20371
158,0.20371
159,0.20371
160,0.20371
161,0.20371
162,0.20371
163,0.20371
164,0.20371
165,0.20371
