Generation,MaxFit
355,0.20536
356,0.20536
357,0.20536
358,0.20536
359,0.20536
360,0.20536
361,0.20536
362,0.20536
363,0.20536
364,0.20536
365,0.20536
366,0.20536
367,0.20536
368,0.20536
369,0.20536
370,0.20536
371,0.20536
372,0.20536
373,0.20536
374,0.20536
375,0.20536
376,0.20536
377,0.20536
378,0.20536
379,0.20536
380,0.20536
381,0.20536
382,0.20536
383,0.20536
384,0.20536
385,0.20536
386,0.20536
387,0.20536
388,0.20536
389,0.20536
390,0.20536
391,0.20536
392,0.20536
393,0.20536
394,0.20536
395,0.20536
396,0.20536
397,0.20536
398,0.20536
399,0.20536
400,0.20536
401,0.20536
402,0.20536
403,0.20536
404,0.20536
405,0.20536
406,0.20536
407,0.20536
408,0.20536
409,0.20536
410,0.20536
411,0.20536
412,0.20536
413,0.20536
414,0.20536
415,0.20536
416,0.20536
417,0.20536
418,0.20536
419,0.20536
420,0.20536
421,0.20536
422,0.20536
423,0.20536
424,0.20536
425,0.20536
426,0.20536
427,0.20536
428,0.20536
429,0.20536
430,0.20536
431,0.20536
432,0.20536
433,0.20536
434,0.20536
435,0.20536
436,0.20536
437,0.20536
438,0.20536
439,0.20536
440,0.20536
441,0.20536
442,0.20536
443,0.20536
444,0.20536
445,0.20536
446,0.20536
447,0.20536
448,0.20536
449,0.20536
450,0.20536
451,0.20536
452,0.20536
453,0.20536
454,0.20536
455,0.20536
456,0.20536
457,0.20536
458,0.20536
459,0.20536
460,0.20536
461,0.20536
462,0.20536
463,0.20536
464,0.20536
465,0.20536
466,0.20536
467,0.20536
468,0.20536
469,0.20536
470,0.20536
471,0.20536
472,0.20536
473,0.20536
474,0.20536
475,0.20536
476,0.20536
477,0.20536
478,0.20536
479,0.20536
480,0.20536
481,0.20536
482,0.20536
483,0.20536
484,0.20536
485,0.20536
486,0.20536
487,0.20536
488,0.20536
489,0.20536
490,0.20536
491,0.20536
492,0.20536
493,0.20536
494,0.20536
495,0.20536
496,0.20536
497,0.20536
498,0.20536
499,0.20536
500,0.20536
501,0.20536
502,0.20536
503,0.20536
504,0.20536
505,0.20536
506,0.20536
507,0.20536
508,0.20536
509,0.20536
510,0.20536
511,0.20536
512,0.20536
513,0.20536
514,0.20536
515,0.20536
516,0.20536
517,0.20536
518,0.20536
519,0.20536
520,0.20536
521,0.20536
522,0.20536
523,0.20536
524,0.20536
525,0.20536
526,0.20536
527,0.20536
528,0.20536
529,0.20536
530,0.20536
531,0.20536
532,0.20536
533,0.20536
534,0.20536
535,0.20536
536,0.20536
537,0.20536
538,0.20536
539,0.20536
540,0.20536
541,0.20536
542,0.20536
543,0.20536
544,0.20536
545,0.20536
546,0.20536
547,0.20536
548,0.20536
549,0.20536
550,0.20536
551,0.20536
552,0.20536
553,0.20536
554,0.20536
555,0.20536
556,0.20536
557,0.20536
558,0.20536
559,0.20536
560,0.20536
561,0.20536
562,0.20536
563,0.20536
564,0.20536
565,0.20536
566,0.20536
567,0.20536
568,0.20536
569,0.20536
570,0.20536
571,0.20536
572,0.20536
573,0.20536
574,0.20536
575,0.20536
576,0.20536
577,0.20536
578,0.20536
579,0.20536
580,0.20536
581,0.20536
582,0.20536
583,0.20536
584,0.20536
585,0.20536
586,0.20536
587,0.20536
588,0.20536
589,0.20536
590,0.20536
591,0.20536
592,0.20536
593,0.20536
594,0.20536
595,0.20536
596,0.20536
597,0.20536
598,0.20536
599,0.20536
600,0.20536
601,0.20536
602,0.20536
603,0.20536
604,0.20536
605,0.20536
606,0.20536
607,0.20536
608,0.20536
609,0.20536
610,0.20536
611,0.20536
612,0.20536
613,0.20536
614,0.20536
615,0.20536
616,0.20536
617,0.20536
618,0.20536
619,0.20536
620,0.20536
621,0.20536
622,0.20536
623,0.20536
624,0.20536
625,0.20536
626,0.20536
627,0.20536
628,0.20536
629,0.20536
630,0.20536
631,0.20536
632,0.20536
633,0.20536
634,0.20536
635,0.20536
636,0.20536
637,0.20536
638,0.20536
639,0.20536
640,0.20536
641,0.20536
642,0.20536
643,0.20536
644,0.20536
645,0.20536
646,0.20536
647,0.20536
648,0.20536
649,0.20536
650,0.20536
651,0.20536
652,0.20536
653,0.20536
654,0.20536
655,0.20536
656,0.20536
657,0.20536
658,0.20536
659,0.20536
660,0.20536
661,0.20536
662,0.20536
663,0.20536
664,0.20536
665,0.20536
666,0.20536
667,0.20536
668,0.20536
669,0.20536
670,0.20536
671,0.20536
672,0.20536
673,0.20536
674,0.20536
675,0.20536
676,0.20536
677,0.20536
678,0.20536
679,0.20536
680,0.20536
